organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,nursing degree received,gpa,employment status,previous health care work experience,leave,type of leave,termination,termination date,tenure,termination reason,id,education_clean,gpa_numeric
Emory University Hospital,2016-04-22,322043,14206,,General Surgical Inpatient Unit,47.0,Female,Bsn,3.0 - 3.49,,,No,,Yes,2017-04-12,,Other/Unknown,21085,Brenau University,3.25
Emory University Hospital,2016-04-15,979074,14207,,Emergency Department,37.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21086,Brenau University,3.25
Emory University Hospital,2015-10-08,0374482,14208,,Other (Please Specify),30.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21087,Brenau University,3.25
Emory University Hospital,2015-10-07,0791546,14209,,Transplant Unit,36.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21088,Brenau University,3.25
Emory Saint Joseph’S Hospital,2014-10-20,040701300,14210,,Telemetry Unit,26.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21089,Brenau University,3.25
Emory Saint Joseph’S Hospital,2014-10-20,188264900,14211,,Other (Please Specify),51.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21090,Brenau University,3.25
Emory University Hospital,2014-03-17,0404465,14212,,General Medical Inpatient Unit,27.0,Female,Bsn,2.5 - 2.99,,,No,,No,,,,21091,Brenau University,2.75
Emory University Hospital,2013-08-26,2709,14213,,General Medical Inpatient Unit,45.0,Female,Bsn,3.5 And Above,,,No,,No,,,,21092,Brenau University,3.75
Emory Saint Joseph’S Hospital,2013-08-12,040247000,14214,,Emergency Department,23.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21093,Brenau University,3.25
Emory University Hospital,2013-08-08,0659,14215,,Oncology Inpatient Unit,30.0,Female,Bsn,3.5 And Above,,,No,,No,,,,21094,Brenau University,3.75
Emory University Hospital,2013-03-11,0412,14216,,General Medical Inpatient Unit,27.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21095,Brenau University,3.25
Emory University Hospital,2012-09-10,3802,14218,,Oncology Inpatient Unit,36.0,Female,Bsn,3.5 And Above,,,No,,No,,,,21097,Brenau University,3.75
Emory University Hospital,2012-07-16,4187,14219,,Transplant Unit,43.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21098,Brenau University,3.25
Emory University Hospital,2012-06-14,2776,14220,,Perioperative Or,25.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21099,Brenau University,3.25
